trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.66598829198497,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9999994508480503}",25,0,-140.10395389112836,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9999978033928042}",30,0,-87.3978907037255,"{0: 20, 1: 6, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9999950576360712}",20,0,-99.12491349644849,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9999912135808668}",20,0,-97.63942843847857,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9999862712314133}",20,0,-105.19428855609195,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9999802305931386}",30,0,-170.36278928205886,"{0: 12, 1: 8, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9999730916726772}",25,0,-100.40183568862973,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9999648544778699}",30,6,-38.79339581333785,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9999555190177636}",30,0,-144.47094690217605,"{0: 17, 1: 1, 2: 10, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9999450853026114}",25,0,-187.95098205408434,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9999335533438727}",20,0,-61.81277057867136,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9999209231542132}",35,0,-87.6824458108288,"{0: 23, 1: 3, 2: 8, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9999071947475047}",20,0,-128.02144833846776,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.999892368138825}",20,0,-68.32913738683789,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9998764433444584}",25,0,-55.8071390579602,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.999859420381895}",25,0,-195.35097651050248,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9998412992698312}",20,0,-77.20266518831733,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9998220800281697}",25,0,-94.92414759103063,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9998017626780189}",25,0,-186.02989449285894,"{0: 11, 1: 6, 2: 5, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.9997803472416934}",20,0,-118.94925476033393,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",1
22,False,"{'a': 0.5, 'e': 0.999757833742714}",30,0,-231.1153554128763,"{0: 13, 1: 0, 2: 13, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9997342222058071}",20,5,-89.41964695389339,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.9997095126569057}",20,0,-200.9551166043415,"{0: 10, 1: 1, 2: 3, 3: 3, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.999683705123148}",25,0,-110.62453446166361,"{0: 10, 1: 5, 2: 10, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9996567996328788}",25,0,-143.3144357378923,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9996287962156485}",20,0,-48.47859412172005,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9995996949022132}",20,0,-112.4466128866287,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9995694957245351}",20,0,-138.70401425253303,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.9995381987157821}",25,0,-193.05788526666984,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.9995058039103277}",25,6,-32.98363137902666,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.9994723113437514}",25,0,-93.84072004534681,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.999437721052838}",20,0,-68.76584197118197,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9994020330755784}",20,0,-79.25093011351954,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9993652474511686}",30,0,-125.81367309477882,"{0: 19, 1: 0, 2: 9, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9993273642200107}",20,0,-110.19848885774002,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9992883834237116}",20,3,-9.965155146724761,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.9992483051050844}",25,0,-182.76855917969624,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.9992071293081473}",30,20,-14.097110650273194,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
