trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.93097821373567,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.50191177035146,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.51153526798043,"{0: 9, 1: 5, 2: 8, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,12,-123.35903260680975,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-235.34731384709613,"{0: 20, 1: 2, 2: 8, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,2,-55.023729779332825,"{0: 13, 1: 1, 2: 1, 3: 3, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.90425021788714,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-12.375071278958957,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-196.69995292852332,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.16327985274668,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.01517739200233,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.0234934606709,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-131.63191517832945,"{0: 25, 1: 5, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.855315972516294,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.904303019031,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.84339959895415,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.04428793150275,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-62.31899360381657,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,11,-87.75502620272952,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-190.77423082739773,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.60052373511826,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-169.95063998647294,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.34325596511422,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-159.56636621799467,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.31134471782661,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-177.61566173789348,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-22.59039469238335,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-109.5615249703861,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-147.26340541979292,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-185.302002567307,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
